Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","3.3 or 5V","Straight_2x03",21.2300,-51.3000,0.0000,top
"J10","MCX","SMA_Amphenol_901-144_Vertical",40.7032,-23.5000,0.0000,top
"J11","MCX","SMA_Amphenol_901-144_Vertical",-40.7032,-23.5000,0.0000,top
"J1001","HEADER_2x10","Straight_2x10",0.0000,-50.0000,-90.0000,top
